index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
10540,2003.0,0.08,0.02,0.0,0.0,80.0,26.0,13.0,0.1
6639,2016.0,0.06,0.14,0.02,0.04,59.0,48.0,73.0,0.25
2813,2014.0,0.38,0.29,0.0,0.06,75.0,6.0,26.0,0.73
9057,2001.0,0.07,0.05,0.0,0.02,44.0,14.0,6.0,0.14
1124,2004.0,0.54,0.88,0.0,0.22,83.0,51.0,120.0,1.64
10169,2002.0,0.08,0.03,0.0,0.0,50.0,13.0,4.0,0.11
3985,2004.0,0.24,0.19,0.0,0.06,65.0,8.0,8.0,0.5
11740,2008.0,0.07,0.0,0.0,0.01,75.0,15.0,4.0,0.08
590,2004.0,2.03,0.21,0.0,0.35,84.0,21.0,44.0,2.59
8398,2009.0,0.11,0.03,0.0,0.02,53.0,34.0,22.0,0.17
7809,2010.0,0.05,0.09,0.02,0.03,43.0,34.0,21.0,0.19
3887,2002.0,0.25,0.2,0.0,0.07,53.0,17.0,8.0,0.51
5646,2007.0,0.2,0.04,0.05,0.03,75.0,55.0,145.0,0.32
2609,2011.0,0.27,0.34,0.04,0.13,53.0,17.0,34.0,0.79
7590,2010.0,0.1,0.08,0.0,0.02,57.0,33.0,4.0,0.2
3679,2013.0,0.35,0.12,0.0,0.08,75.0,69.0,343.0,0.54
9827,2009.0,0.08,0.0,0.03,0.01,70.0,11.0,15.0,0.12
1005,2004.0,1.24,0.45,0.0,0.07,80.0,55.0,57.0,1.75
3071,2008.0,0.33,0.22,0.01,0.1,76.0,33.0,42.0,0.66
13576,2008.0,0.04,0.0,0.0,0.0,37.0,4.0,5.0,0.04
4226,2007.0,0.25,0.12,0.0,0.09,85.0,41.0,47.0,0.46
8675,2003.0,0.08,0.06,0.0,0.02,66.0,22.0,6.0,0.16
6083,2001.0,0.2,0.08,0.0,0.01,72.0,10.0,6.0,0.29
679,2001.0,1.08,0.7,0.34,0.21,84.0,21.0,189.0,2.34
16530,2016.0,0.01,0.0,0.0,0.0,61.0,9.0,14.0,0.01
8920,2014.0,0.02,0.02,0.11,0.01,90.0,4.0,71.0,0.15
3965,2012.0,0.25,0.13,0.04,0.07,71.0,60.0,169.0,0.5
8552,2007.0,0.14,0.0,0.0,0.01,52.0,11.0,21.0,0.16
3752,2010.0,0.3,0.15,0.03,0.05,85.0,62.0,85.0,0.53
2748,2009.0,0.41,0.23,0.0,0.11,76.0,45.0,9.0,0.74
2699,2004.0,0.54,0.2,0.0,0.01,39.0,6.0,5.0,0.76
3155,2007.0,0.25,0.31,0.0,0.07,75.0,38.0,31.0,0.64
2931,2004.0,0.37,0.14,0.17,0.01,73.0,8.0,39.0,0.7
6943,2004.0,0.11,0.09,0.0,0.03,76.0,26.0,4.0,0.23
7521,2000.0,0.0,0.0,0.2,0.0,89.0,21.0,33.0,0.2
7825,2004.0,0.14,0.04,0.0,0.01,72.0,75.0,49.0,0.19
12058,2008.0,0.0,0.0,0.07,0.0,49.0,6.0,13.0,0.07
1251,2007.0,0.56,0.77,0.0,0.17,69.0,17.0,18.0,1.51
8075,2008.0,0.17,0.0,0.0,0.01,34.0,4.0,4.0,0.18
5215,2015.0,0.17,0.13,0.0,0.06,73.0,10.0,20.0,0.36
6915,2012.0,0.1,0.1,0.0,0.03,53.0,14.0,81.0,0.24
503,2006.0,0.86,1.04,0.73,0.26,83.0,61.0,179.0,2.89
